frames,r11,r21,r31,r12,r22,r32,r13,r23,r33,pitch,yaw,roll,q1,q2,q3,q4,u1,u2,u3,angle,Sx,Sy,Sz,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z
7173,0.82454,-0.10677,-0.55564,-0.0022212,0.98142,-0.19188,0.5658,0.15945,0.80898,13.343,-33.755,7.3782,0.092392,-0.29492,0.027494,0.95065,0.29778,-0.95051,0.088613,36.151,56.144,125.83,-598.34,0.063233,0.18146,-0.61174,-0.016796,0.20027,-0.62155,0.0057439,0.19618,-0.65563,0.082456,0.17134,-0.6816
7177,0.81455,-0.10457,-0.57059,-0.0036914,0.98267,-0.18535,0.58008,0.15308,0.80005,13.044,-34.791,7.3151,0.08922,-0.30334,0.026593,0.94832,0.28118,-0.95599,0.083807,37.0,58.014,125.03,-599.18,0.06484,0.18085,-0.61192,-0.015262,0.19967,-0.62024,0.006638,0.19611,-0.65465,0.082687,0.17088,-0.68227
7179,0.80508,-0.11101,-0.58268,-0.000954,0.98209,-0.18841,0.59316,0.15225,0.79056,13.405,-35.639,7.8504,0.09005,-0.31082,0.029091,0.94574,0.27715,-0.95664,0.089536,37.92,58.875,124.88,-599.17,0.065926,0.18052,-0.61253,-0.014232,0.19994,-0.61966,0.0071081,0.19587,-0.65449,0.082755,0.17045,-0.68309
7182,0.7941,-0.10815,-0.59808,-0.0075414,0.98221,-0.18763,0.60774,0.1535,0.77916,13.539,-36.733,7.7555,0.090457,-0.31974,0.026678,0.9428,0.27135,-0.95915,0.080028,38.946,60.297,124.74,-600.36,0.066901,0.18044,-0.61374,-0.013373,0.19956,-0.61933,0.0072493,0.19567,-0.65452,0.082277,0.17044,-0.68467
7186,0.78105,-0.10865,-0.61494,-0.010843,0.98224,-0.18732,0.62437,0.15298,0.766,13.742,-37.947,7.9197,0.090571,-0.32984,0.026032,0.93932,0.26402,-0.96153,0.075887,40.124,61.41,124.63,-601.56,0.067753,0.18034,-0.61502,-0.012635,0.19951,-0.61888,0.0072562,0.19563,-0.65453,0.08163,0.17031,-0.68611
7190,0.7701,-0.11045,-0.62829,-0.012586,0.98207,-0.18808,0.6378,0.15274,0.7549,13.99,-38.924,8.1622,0.090996,-0.33804,0.02613,0.93636,0.25922,-0.96295,0.074435,41.102,62.236,124.54,-602.32,0.068472,0.18017,-0.61612,-0.011963,0.19954,-0.6186,0.0072979,0.19546,-0.65462,0.081096,0.17018,-0.6875
7193,0.75801,-0.11131,-0.64268,-0.014593,0.98219,-0.18733,0.65208,0.15137,0.74288,14.153,-39.992,8.354,0.09074,-0.34688,0.025912,0.93315,0.25242,-0.96493,0.07208,42.137,63.21,124.28,-603.79,0.069267,0.17992,-0.61765,-0.011165,0.1994,-0.61861,0.0074239,0.19533,-0.65495,0.080543,0.16992,-0.68912
7196,0.74766,-0.11301,-0.6544,-0.019186,0.98133,-0.19139,0.66381,0.15565,0.73153,14.662,-40.874,8.5953,0.093277,-0.35431,0.025218,0.93012,0.25399,-0.96477,0.068669,43.092,64.34,124.35,-605.03,0.070067,0.17995,-0.61917,-0.01036,0.19927,-0.6189,0.0076337,0.19512,-0.65554,0.080166,0.16961,-0.69086
7200,0.73451,-0.1195,-0.66799,-0.018819,0.98041,-0.19609,0.67833,0.1566,0.71787,15.278,-41.912,9.241,0.095179,-0.36332,0.027171,0.92639,0.25276,-0.96484,0.072156,44.242,65.259,124.36,-606.14,0.070997,0.17978,-0.62098,-0.0093738,0.19958,-0.61925,0.0079203,0.19492,-0.65627,0.079766,0.16921,-0.69295
7207,0.72253,-0.11905,-0.68101,-0.023404,0.98029,-0.1962,0.69094,0.1577,0.7055,15.541,-42.923,9.3565,0.095846,-0.37157,0.025904,0.92308,0.24921,-0.96611,0.067352,45.239,66.506,124.07,-607.53,0.071883,0.17955,-0.62228,-0.0084082,0.19916,-0.61914,0.0082277,0.19467,-0.65638,0.079329,0.16884,-0.69421
7215,0.7102,-0.12189,-0.69337,-0.020987,0.98079,-0.19391,0.70369,0.15227,0.694,15.611,-43.897,9.7388,0.09408,-0.37967,0.027422,0.91992,0.23993,-0.96827,0.069934,46.172,68.653,123.47,-608.71,0.074107,0.17894,-0.62346,-0.0060258,0.19902,-0.61894,0.0099133,0.19451,-0.65646,0.080181,0.16835,-0.69563
7219,0.69803,-0.12505,-0.70507,-0.0192,0.98101,-0.193,0.71581,0.14825,0.68237,15.792,-44.835,10.156,0.093064,-0.3875,0.028866,0.91671,0.23292,-0.96981,0.072245,47.101,70.101,123.06,-609.46,0.075611,0.17847,-0.62442,-0.0043726,0.19903,-0.61854,0.010949,0.19433,-0.65638,0.080563,0.16799,-0.69654
7225,0.68757,-0.12964,-0.71445,-0.018897,0.98041,-0.19608,0.72587,0.14832,0.67165,16.275,-45.598,10.677,0.09423,-0.39408,0.030299,0.91373,0.23191,-0.96987,0.074569,47.947,72.149,122.77,-610.34,0.077615,0.17811,-0.62558,-0.0021846,0.19894,-0.61862,0.012612,0.19404,-0.65669,0.08153,0.16736,-0.69783
7234,0.67239,-0.12982,-0.72873,-0.019909,0.98097,-0.19313,0.73993,0.14436,0.65701,16.381,-46.78,10.928,0.092746,-0.4036,0.030205,0.90972,0.22337,-0.97202,0.072745,49.067,74.225,122.41,-612.52,0.079535,0.17784,-0.62751,-3.9823e-05,0.19879,-0.61891,0.013909,0.19414,-0.65715,0.08189,0.16714,-0.69965
7240,0.65857,-0.12974,-0.74125,-0.024337,0.98084,-0.1933,0.75213,0.14534,0.64279,16.737,-47.838,11.145,0.093459,-0.41215,0.02909,0.90584,0.22062,-0.97294,0.068671,50.126,76.021,122.01,-613.14,0.080997,0.17744,-0.62822,0.0016133,0.19831,-0.61812,0.014848,0.19368,-0.65664,0.081896,0.16669,-0.70051
7248,0.6453,-0.13051,-0.7527,-0.022632,0.9816,-0.1896,0.76359,0.13938,0.63047,16.737,-48.825,11.434,0.09114,-0.42007,0.029886,0.90241,0.21152,-0.97491,0.06936,51.047,77.898,121.45,-613.61,0.082915,0.17683,-0.62884,0.003786,0.19818,-0.61734,0.016279,0.19344,-0.6561,0.082491,0.16651,-0.70113
7255,0.63457,-0.13584,-0.76083,-0.02121,0.981,-0.19284,0.77257,0.13851,0.61964,17.287,-49.537,12.083,0.09211,-0.42626,0.031865,0.89933,0.21065,-0.97484,0.072875,51.858,79.637,121.05,-613.85,0.084676,0.17628,-0.62962,0.0057944,0.19811,-0.61707,0.017789,0.19295,-0.65611,0.083303,0.16588,-0.70187
7264,0.6212,-0.13811,-0.77138,-0.018274,0.98153,-0.19045,0.78344,0.1324,0.6072,17.414,-50.478,12.534,0.090101,-0.43391,0.033443,0.89581,0.20273,-0.97634,0.075249,52.773,81.802,120.53,-615.04,0.086925,0.17579,-0.63068,0.008394,0.19804,-0.61681,0.019749,0.19295,-0.65602,0.084381,0.16549,-0.7028
7274,0.61074,-0.14185,-0.77902,-0.020862,0.9806,-0.19491,0.79156,0.13529,0.59593,18.111,-51.171,13.075,0.092477,-0.43987,0.033884,0.89265,0.20516,-0.97584,0.075171,53.585,82.623,120.38,-616.62,0.087532,0.17556,-0.63259,0.0092218,0.19787,-0.61777,0.020036,0.1926,-0.6571,0.083914,0.16491,-0.70475
7284,0.60129,-0.1471,-0.78537,-0.018687,0.98005,-0.19787,0.79881,0.13365,0.58655,18.641,-51.755,13.746,0.09313,-0.44503,0.036073,0.88993,0.20419,-0.97573,0.07909,54.271,83.228,120.34,-617.25,0.088195,0.17535,-0.63378,0.010174,0.1982,-0.61811,0.020499,0.19249,-0.65767,0.083869,0.16469,-0.70581
7302,0.59039,-0.15137,-0.7928,-0.017187,0.97967,-0.19985,0.80693,0.13162,0.57579,19.142,-52.448,14.381,0.093443,-0.45097,0.037828,0.88683,0.20221,-0.97591,0.08186,55.045,85.387,120.05,-619.09,0.090371,0.17505,-0.63566,0.012691,0.19819,-0.61904,0.022482,0.19247,-0.65869,0.085022,0.16416,-0.70759
7322,0.57955,-0.15743,-0.79958,-0.0097068,0.97976,-0.19994,0.81488,0.12364,0.5663,19.446,-53.09,15.197,0.091513,-0.45659,0.041778,0.88397,0.19573,-0.97658,0.089357,55.75,86.904,119.53,-621.1,0.092254,0.1745,-0.63767,0.01489,0.19842,-0.62017,0.02418,0.19265,-0.65986,0.085972,0.16357,-0.70959
7427,0.62166,-0.14968,-0.76885,-0.0069119,0.98049,-0.19647,0.78325,0.12745,0.6085,17.894,-50.251,13.537,0.090387,-0.43311,0.039838,0.89591,0.20347,-0.97497,0.089679,52.748,84.6,119.98,-617.4,0.090376,0.17505,-0.63347,0.012114,0.19828,-0.61995,0.023456,0.19276,-0.65911,0.087921,0.16441,-0.70555
7431,0.63772,-0.14753,-0.75601,-0.0076314,0.98023,-0.19772,0.77023,0.13186,0.62398,17.582,-49.114,13.026,0.091523,-0.42383,0.038849,0.90027,0.21024,-0.97357,0.089239,51.613,83.159,120.43,-615.85,0.088994,0.17549,-0.63194,0.010376,0.19839,-0.61999,0.022532,0.19281,-0.65898,0.087986,0.16479,-0.70425
7433,0.64742,-0.14238,-0.74871,-0.0081112,0.98105,-0.19358,0.76209,0.1314,0.634,16.979,-48.479,12.403,0.08996,-0.41822,0.037168,0.90312,0.2095,-0.97397,0.086559,50.858,82.458,120.44,-615.62,0.088315,0.17568,-0.63106,0.0094589,0.19817,-0.62003,0.022145,0.19306,-0.65877,0.088189,0.1651,-0.70319
7448,0.71983,-0.13254,-0.68138,-0.0036218,0.98087,-0.19462,0.69414,0.14256,0.70558,15.421,-42.952,10.433,0.091347,-0.37265,0.034925,0.92281,0.2371,-0.96725,0.090653,45.321,76.976,121.82,-609.24,0.083504,0.17714,-0.62413,0.0036223,0.19846,-0.62092,0.020096,0.19353,-0.65825,0.090617,0.16659,-0.69607
